
payload_kg,distance_km,wind_speed_kmph,altitude_m,flight_time_min
2.2,26.6,43.9,58.1,37.47
3.4,26.8,49.5,107.2,54.13
2.4,11.9,17.7,104.6,23.72
0.5,14.6,53.3,45.8,43.53
4.9,28.0,39.0,111.4,44.08
3.3,22.8,24.3,113.7,27.81
0.5,18.5,50.4,118.4,47.05
1.6,27.9,29.5,29.9,22.1
3.3,8.7,52.5,112.0,63.2
3.6,21.6,33.0,26.6,31.41

4.8,19.5,38.4,10.2,33.84
0.8,17.9,55.4,92.8,42.74
2.4,25.7,51.5,13.3,35.18
4.2,12.9,57.3,94.4,60.7
1.9,8.7,38.3,43.9,32.13
4.2,20.1,41.5,28.7,31.83
3.5,10.7,22.4,102.2,32.78
0.2,10.3,38.5,44.1,29.06
0.5,23.3,34.0,85.0,38.61
4.7,26.3,19.7,69.9,28.34
