
payload_kg,distance_km,wind_speed_kmph,altitude_m,flight_time_min
2.3,5.3,9.7,34.5,14.81
0.3,13.5,19.0,83.5,19.03
4.6,1.4,3.6,33.0,22.45
3.3,12.1,8.2,34.8,15.99
2.6,7.7,26.7,89.8,31.92
2.6,2.7,15.5,30.5,28.15
1.6,13.7,5.7,82.1,17.72
2.2,4.8,14.5,30.7,21.27
3.7,8.8,11.8,100.8,28.27
2.4,8.6,27.8,44.1,25.32
1.7,4.6,5.5,41.3,17.36
2.6,12.7,26.5,98.0,29.48
0.2,2.0,11.2,26.0,8.34
1.5,9.8,18.8,13.8,18.84
3.6,10.1,15.1,44.0,28.87
4.8,1.7,7.8,14.3,19.16
0.4,12.7,1.0,97.6,9.16
0.9,8.8,24.1,101.3,29.07
0.2,4.1,7.0,13.6,7.08
1.3,11.2,9.8,16.5,13.14
4.9,1.0,19.6,46.5,28.21
4.7,14.5,4.2,57.0,24.86
2.2,0.7,28.8,64.2,33.35
0.5,7.9,19.2,79.1,19.87
4.8,5.4,27.4,42.4,34.78
